"model_name","alpha","lambda_min","accuracy","macro_precision","macro_recall","macro_f1"
"elastic_interactions_alpha_0.5",0.5,0.000756961273600634,0.542307692307692,0.349468943500149,0.242932814780891,0.254539598855666
"lasso_interactions",1,0.000500329127683965,0.542307692307692,0.332614656390127,0.243614253009915,0.254481143955732
"lasso_main",1,4.88826539674069e-05,0.534615384615385,0.342881167190803,0.23211841499885,0.239913288840907
"elastic_main_alpha_0.5",0.5,0.000141840722290345,0.534615384615385,0.343648081242066,0.232033500247535,0.239902565717613
"ridge_interactions",0,0.0646199917257413,0.526923076923077,0.37364298794539,0.2108043751239,0.205540165971968
"ridge_main",0,0.019280325997964,0.522115384615385,0.223134145354533,0.205108348466393,0.195375858921712
