"model_name","alpha","lambda_min","accuracy","macro_precision","macro_recall","macro_f1"
"knn_scaled_k_35",NA,NA,0.55,0.235329079087822,0.230097879887501,0.227030028297733
"knn_scaled_k_5",NA,NA,0.546153846153846,0.307128458349597,0.27718130971487,0.286573571957086
"glmnet_target_inter_alpha_1",1,0.000179808965547008,0.541346153846154,0.347522578592866,0.234335527494464,0.241959932056025
"glmnet_target_inter_alpha_1_train_trimmed",1,9.37922403464528e-05,0.540384615384615,0.34386022881916,0.234261107824772,0.241564965737172
"glmnet_target_inter_alpha_0.25",0.25,0.00016233295240263,0.540384615384615,0.34472504854267,0.234091278322144,0.241497943986632
"glmnet_target_inter_alpha_0.5",0.5,0.000170847652151584,0.540384615384615,0.34472504854267,0.234091278322144,0.241497943986632
"glmnet_target_inter_alpha_0.75_train_trimmed",0.75,9.46005203083749e-05,0.540384615384615,0.343341598219173,0.233834413849691,0.240928843704196
"glmnet_target_inter_alpha_0.5_train_trimmed",0.5,0.000141900780462562,0.540384615384615,0.344344596832558,0.23340771987461,0.240424902776544
"glmnet_target_inter_alpha_0.75",0.75,0.000113898434767723,0.539423076923077,0.34434910102799,0.23376211439851,0.241181654289611
"glmnet_target_inter_alpha_0.25_train_trimmed",0.25,0.000178235651425726,0.539423076923077,0.344061962134251,0.232993641199662,0.240049520414683
"knn_scaled_k_25",NA,NA,0.5375,0.227229286829469,0.227952218755665,0.224343411577197
"knn_scaled_k_15",NA,NA,0.536538461538462,0.225506799128939,0.230098303931203,0.225974770042191
"ordinal_polr_main",NA,NA,0.534615384615385,0.372821454034846,0.220946228343293,0.220601975655779
"glmnet_main_alpha_1",1,0.000237696870419701,0.533653846153846,0.343850464115916,0.230850948373739,0.238463457509934
"glmnet_main_alpha_0.5",0.5,0.000433161071143282,0.532692307692308,0.342947558770344,0.230095090475024,0.237497183074176
"glmnet_main_alpha_0.75",0.75,0.000316929160559601,0.532692307692308,0.342947558770344,0.230095090475024,0.237497183074176
"lda_main",NA,NA,0.531730769230769,0.299948203469421,0.23522803347613,0.242529951301359
"glmnet_main_alpha_0.25",0.25,0.000495741380959963,0.531730769230769,0.342024720934674,0.229339232576309,0.236524405970526
"glmnet_target_inter_alpha_0",0,0.01756751497511,0.528846153846154,0.369080707225507,0.213167358652983,0.208658009780236
"glmnet_main_alpha_0",0,0.01756751497511,0.521153846153846,0.222754678564181,0.204779184542759,0.195067660624623
